Year,Month,DayPeriod,Type,Operator,Location,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity,latitude,longitude,geocoded_info
1956,Apr,Morning,Boeing 377 Stratocruiser 10-30,Northwest Orient Airlines,"Seattle, Washington",Watery,North America,United States,Sea,"Seattle,",Washington,Unknown,Unknown,No,Unknown,38,0,5,Partial Survived,47.6038321,-122.330062,
1956,Apr,Morning,Aero Commander  520,Cordova Airlines,"Skilak Lake, Alaska",Watery,North America,United States,Gulf,"Skilak Lake,",Alaska,Weather,Unknown,No,En Route,6,0,6,None Survived,60.4286694,-150.3746846,
1956,Apr,Unknown,Consolidated PBY-5A Catalina,Panair do Brasil,"Parintins, Brazil",Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,12,0,3,Partial Survived,-2.6344567,-56.7319324,
1956,Apr,Morning,Avro 685 York C-1,Scottish Airlines,"London, England",Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,54,0,2,Partial Survived,51.4893335,-0.1440551,
1956,May,Unknown,Douglas DC-3,Indian Airlines,"Kathmandu, Nepal",Land,Asia,Nepal,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,33,1,14,Partial Survived,27.708317,85.3205817,
1956,May,Night,CF-100 Mark V,Military - Royal Canadian Air Force,"Orleans, Ontario, Canada",Land,North America,Canada,Unknown,Unknown,Ontario,Unknown,Unknown,No,Unknown,2,13,2,None Survived,45.4068372,-75.5274568,
1956,May,Unknown,Douglas DC-3,Aviateca,"Guatemala City, Guatemala",Land,North America,Guatemala,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,31,0,30,Partial Survived,14.6416142,-90.5132836,
1956,Jun,Night,Lockheed 1049E-55 Super Constellation,Linea Aeropostal Venezolana,"Asbury Park, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,74,0,74,None Survived,40.2203907,-74.0120817,
1956,Jun,Evening,Canadair C-4 Argonaut,British seas Airways,"Kano, Nigeria",Land,Africa,Nigeria,Unknown,Unknown,Unknown,Weather,Thunderstorm,No,Unknown,45,0,32,Partial Survived,11.9939978,8.5219738,
1956,Jun,Morning,Douglas DC-7 / Lockheed S Constellation,United Air Lines / Trans World Airlines,"Grand Canyon, Arizona",Land,North America,United States,Unknown,Unknown,Arizona,External,Unknown,No,Unknown,128,0,128,None Survived,36.0980405,-112.0962787,
1956,Jul,Afternoon,Vickers Viscount,Trans Canada Air Lines," Flat Rock, Michigan",Land,North America,United States,Unknown,Unknown,Michigan,Unknown,Unknown,No,Landing,35,0,1,Partial Survived,42.0964314,-83.2918744,
1956,Jul,Afternoon,Douglas C-118A,Military - U.S. Air Force," Brows Mills, New Jersey",Land,North America,United States,Unknown,Unknown,New Jersey,Weather,Thunderstorm,No,Unknown,66,0,46,Partial Survived,43.8890445,-79.4421199,Matched: Brows Mills
